Size,Time
7.0,0.322723
7.0,0.325532
7.0,0.313812
7.0,0.300268
7.0,0.306948
7.0,0.308045
7.0,0.312
7.0,0.315038
7.0,0.316506
8.0,0.400021
8.0,0.399998
8.0,0.404001
8.0,0.400025
8.0,0.390774
8.0,0.395312
8.0,0.386178
8.0,0.407642
8.0,0.399
8.0,0.396
8.0,0.404
8.0,0.402
8.0,0.399027
8.0,0.399
8.0,0.398072
8.0,0.392664
8.0,0.397003
8.0,0.39951
8.0,0.413062
8.0,0.412406
9.0,0.50954
9.0,0.501012
9.0,0.498508
9.0,0.497352
9.0,0.501
9.0,0.494
9.0,0.499956
9.0,0.493556
9.0,0.512328
9.0,0.507971
9.0,0.495902
9.0,0.488153
9.0,0.491697
9.0,0.5
9.0,0.498591
9.0,0.485711
9.0,0.502563
9.0,0.486471
9.0,0.50484
9.0,0.513162
10.0,0.622675
10.0,0.604567
10.0,0.607507
10.0,0.598
10.0,0.6
10.0,0.610024
10.0,0.608076
10.0,0.61684
10.0,0.596058
10.0,0.605
10.0,0.608024
10.0,0.609
10.0,0.609973
10.0,0.604987
10.0,0.612138
10.0,0.621296
10.0,0.613601
10.0,0.589048
10.0,0.58851
10.0,0.603298
11.0,0.732019
11.0,0.719921
11.0,0.702982
11.0,0.753
11.0,0.721176
11.0,0.724452
11.0,0.725434
11.0,0.72016
11.0,0.727465
11.0,0.724962
11.0,0.74965
11.0,0.713882
11.0,0.712991
11.0,0.709528
11.0,0.721558
11.0,0.722095
11.0,0.722
11.0,0.746492
11.0,0.704319
11.0,0.702058
12.0,0.892535
12.0,0.860872
12.0,0.851143
12.0,0.882592
12.0,0.849953
12.0,0.843722
12.0,0.859705
12.0,0.863879
12.0,0.856806
12.0,0.870793
12.0,0.855032
12.0,0.862533
12.0,0.866011
12.0,0.846679
12.0,0.854892
12.0,0.8753
12.0,0.858522
12.0,0.854232
12.0,0.838026
12.0,0.846386
13.0,1.041824
13.0,0.988812
13.0,0.992932
13.0,0.971025
13.0,1.000992
13.0,1.019891
13.0,0.990788
13.0,0.998559
13.0,0.98386
13.0,1.010829
13.0,1.025875
13.0,1.01422
13.0,1.028911
13.0,1.018146
13.0,1.004731
13.0,1.030782
13.0,1.017432
13.0,1.02395
13.0,1.022507
13.0,1.031422
14.0,1.202044
14.0,1.183967
14.0,1.196153
14.0,1.196874
14.0,1.210909
14.0,1.181075
14.0,1.168065
14.0,1.17491
14.0,1.208862
14.0,1.192953
14.0,1.167233
14.0,1.15593
14.0,1.180133
14.0,1.204056
14.0,1.157837
14.0,1.167871
14.0,1.167511
14.0,1.199529
14.0,1.146392
14.0,1.161678
15.0,1.363169
15.0,1.368775
15.0,1.315699
15.0,1.324026
15.0,1.309313
15.0,1.336068
15.0,1.293906
15.0,1.306233
15.0,1.323729
15.0,1.327325
15.0,1.286642
15.0,1.307862
15.0,1.348067
15.0,1.326566
15.0,1.312492
15.0,1.319464
15.0,1.257461
15.0,1.328426
15.0,1.310054
15.0,1.323755
16.0,1.547902
16.0,1.568405
16.0,1.543826
16.0,1.568686
16.0,1.490979
16.0,1.490213
16.0,1.542775
16.0,1.494213
16.0,1.471846
16.0,1.480216
16.0,1.529362
16.0,1.490301
16.0,1.486
16.0,1.509242
16.0,1.451708
16.0,1.482125
16.0,1.516136
16.0,1.508014
16.0,1.467808
16.0,1.474196
17.0,1.70317
17.0,1.652002
17.0,1.654896
17.0,1.701819
17.0,1.669843
17.0,1.651102
17.0,1.697123
17.0,1.671986
17.0,1.666871
17.0,1.691433
17.0,1.669533
17.0,1.663882
17.0,1.701429
17.0,1.643634
17.0,1.667901
17.0,1.687685
17.0,1.661708
17.0,1.670205
17.0,1.699053
17.0,1.685618
18.0,1.883765
18.0,1.892127
18.0,1.923494
18.0,1.927065
18.0,1.88566
18.0,1.92089
18.0,1.931169
18.0,1.861984
18.0,1.881917
18.0,1.889269
18.0,1.884337
18.0,1.935451
18.0,1.865877
18.0,1.90013
18.0,1.908838
18.0,1.876158
18.0,1.900269
18.0,1.890927
18.0,1.886
18.0,1.896367
19.0,2.105906
19.0,2.042393
19.0,2.074848
19.0,2.061106
19.0,2.109544
19.0,2.062039
19.0,2.109729
19.0,2.076802
19.0,2.081409
19.0,2.088833
19.0,2.105072
19.0,2.10052
19.0,2.071431
19.0,2.092217
19.0,2.131919
19.0,2.097706
19.0,2.132901
19.0,2.081375
19.0,2.043265
19.0,2.072776
20.0,2.320921
20.0,2.340387
20.0,2.322383
20.0,2.361552
20.0,2.313752
20.0,2.315125
20.0,2.307876
20.0,2.312745
20.0,2.304441
20.0,2.320283
20.0,2.244843
20.0,2.331574
20.0,2.242952
20.0,2.315949
20.0,2.311882
20.0,2.288334
20.0,2.307482
20.0,2.236532
20.0,2.310938
20.0,2.26506
21.0,2.54855
21.0,2.517301
21.0,2.518072
21.0,2.50199
21.0,2.521553
21.0,2.507991
21.0,2.538228
21.0,2.527506
21.0,2.520381
21.0,2.508126
21.0,2.565456
21.0,2.51578
21.0,2.566895
21.0,2.526962
21.0,2.561743
21.0,2.536545
21.0,2.568849
21.0,2.488723
21.0,2.535458
21.0,2.500667
22.0,2.748838
22.0,2.751304
22.0,2.729536
22.0,2.771238
22.0,2.724851
22.0,2.752501
22.0,2.766352
22.0,2.75908
22.0,2.771949
22.0,2.77811
22.0,2.748318
22.0,2.728529
22.0,2.819113
22.0,2.821265
22.0,2.790739
22.0,2.7402
22.0,2.789741
22.0,2.724223
22.0,2.785143
22.0,2.745868
23.0,3.041983
23.0,3.05689
23.0,2.993113
23.0,3.019721
